cancer_type,parameter_name,definition
base,IC50_AXL,"Half-maximal inhibitory concentration of cabozantinib for AXL receptor tyrosine kinase, promotes cancer cell survival and drug resistance"
base,IC50_MET,"Half-maximal inhibitory concentration of cabozantinib for MET receptor tyrosine kinase, involved in cancer cell growth and invasion"
base,IC50_RET,"Half-maximal inhibitory concentration of cabozantinib for RET receptor tyrosine kinase, involved in cancer cell survival signaling"
base,IC50_VEGFR2,"Half-maximal inhibitory concentration of cabozantinib for VEGFR2, inhibits tumor angiogenesis and vascular development"
base,IFNg_50,Half-maximal IFN-γ concentration for M2-to-M1 macrophage polarization and classical activation
base,IFNg_50_ind,Half-Maximal IFNg level for PD-L1 induction
base,IL10_50,"Half-maximal IL-10 concentration for M1-to-M2 macrophage polarization, Treg maintenance, and mAPC inhibition via STAT6 signaling"
base,IL10_50_phago,Half-maximal IL-10 concentration for inhibition of macrophage phagocytic activity
base,IL12_50,Half-maximal IL-12 concentration for M2-to-M1 macrophage polarization and pro-inflammatory activation
base,IL2_50,"Half-maximal IL-2 concentration for CD8+ T cell proliferation enhancement, determines additional division rounds (N_IL2_CD8) beyond baseline TCR-driven proliferation (N0)"
base,IL2_50_Treg,"Half-maximal IL-2 concentration for regulatory T cell proliferation and activation, determines Treg expansion in response to IL-2 signaling from activated T effector cells"
base,K_Mac_C,Association coefficient for macrophage-cancer cell binding in immunological synapse formation
base,K_T_C,"Michaelis-Menten constant for T cell cytotoxicity saturation with respect to effector-to-target ratio, determines efficiency of CD8+ T cell killing at different T cell densities"
base,K_T_Treg,"Michaelis-Menten constant for Treg-mediated suppression of CD8+ T effector function, determines sensitivity of T effector suppression to Treg density in tumor microenvironment"
base,Kc_aPDL1,"Half-maximal anti-PD-L1 concentration for saturable clearance, determines transition from linear to non-linear pharmacokinetics"
base,Kc_cabozantinib,"Half-maximal concentration for nonlinear clearance of cabozantinib, represents Michaelis-Menten constant for saturable metabolism"
base,Kc_rec,Half-Maximal cancer cell number for T cell recruitment
base,M_PD1_total,"Total PD-1 receptors per macrophage surface, mediates checkpoint inhibition of phagocytic function"
base,M_SIRPa,"SIRPα receptor density on macrophage surface, receives CD47 'don't eat me' signals from cancer cells"
base,M_total,Total macrophage population in tumor compartment (M1 + M2)
base,N0,Baseline number of T cell divisions from TCR signaling alone (without costimulation or IL-2)
base,NO_50_Teff,Half-maximal nitric oxide concentration for T effector cell inhibition and apoptosis induction
base,N_IL2_CD4,Maximum additional CD4+ T cell divisions enabled by IL-2 signaling beyond baseline
base,N_IL2_CD8,Maximum additional CD8+ T cell divisions enabled by IL-2 signaling beyond baseline
base,N_M1p0_TCR,"Number of sequential conformational modification steps in P0-MHC-TCR signaling complex, determines signal amplification and duration"
base,N_M1p1_TCR,"Number of sequential conformational modification steps in P1-MHC-TCR signaling complex, determines CD8+ T cell activation signal amplification"
base,N_aCD8,"Number of activated CD8+ T cell proliferation generations, calculated as N0 + N_costim*H_CD28 + N_IL2_CD8*IL2_effect, determines total progeny from single activation event"
base,N_aTh,"Number of activated T helper cell generations during clonal expansion, modulated by costimulation and IL-2 availability"
base,N_aTreg,"Number of activated regulatory T cell proliferation generations, calculated as N0 + N_costim*H_CD28 + N_IL2_CD4*IL2_effect, determines Treg expansion capacity"
base,N_costim,Additional T cell divisions enabled by costimulatory signals (CD28-CD80/86)
base,P0_chemo_res,"Intracellular concentration of self-antigen P0 in chemotherapy-resistant cancer cells, released upon cell death to activate regulatory T cells"
base,P0_chemo_sens,"Intracellular concentration of self-antigen P0 in chemotherapy-sensitive cancer cells, released upon cell death to activate regulatory T cells"
base,P1_chemo_res,"Intracellular concentration of tumor-specific antigen P1 in chemotherapy-resistant cancer cells, released upon cell death for cross-presentation to CD8+ T cells"
base,P1_chemo_sens,"Intracellular concentration of tumor-specific antigen P1 in chemotherapy-sensitive cancer cells, released upon cell death for cross-presentation to CD8+ T cells"
base,PD1_50,"Half-maximal PD-1/PD-L1 complex density in immunological synapse for T cell inactivation, determines sensitivity of checkpoint inhibition to receptor expression"
base,Q_nCD8_thym,"Thymic output rate of naive CD8+ T cells, represents de novo T cell production that maintains peripheral CD8+ T cell pool size throughout life"
base,Q_nTreg_thym,"Thymic output rate of naive regulatory T cells, represents de novo Treg production that maintains peripheral Treg pool size throughout life"
base,R_Tcell,"Calculated rate of cancer cell cytotoxicity by CD8+ T cells, derived from k_C_CD8 baseline rate modified by checkpoint inhibition (PD-1/PD-L1, CTLA-4) and ECM-mediated suppression Hill functions"
base,R_cabo,Resistance factor for cabozantinib efficacy based on AXL receptor expression levels
base,SIRPa_50,Half-maximal SIRPα occupancy for CD47/SIRPα-mediated inhibition of cancer cell phagocytosis by macrophages
base,TCR_p0_tot,"Total TCR density on naive regulatory T cell surface available for self-antigen P0 recognition, determines maximum binding capacity"
base,TCR_p1_tot,"Total TCR density on naive CD8+ T cell surface available for tumor antigen P1 recognition, determines maximum binding capacity for activation"
base,TGFb_50,"Half-maximal TGF-β concentration for Th-to-Treg differentiation, chemoresistance development, and M1-to-M2 macrophage polarization"
base,TGFb_50_Teff,Half-maximal TGF-β concentration for CD8+ T effector cell inhibition and functional suppression in tumor microenvironment
base,TGFbase,"Baseline TGF-β concentration in pancreatic tumor microenvironment, maintained by cancer cells and stromal components"
base,T_CD28_total,"Total number of CD28 costimulatory receptors per T cell surface, determines maximum binding capacity for CD80/CD86 and costimulation potential"
base,T_CTLA4_syn,"Number of CTLA-4 inhibitory receptors per T cell in immunological synapse, competes with CD28 for CD80/CD86 binding and suppresses activation"
base,T_PD1_total,"Total number of PD-1 checkpoint receptors per T cell surface, determines maximum binding capacity for PD-L1/PD-L2 and anti-PD-1 antibodies"
base,T_PDL1_total,"Total number of PD-L1 molecules per activated T cell surface, enables reverse checkpoint signaling and T cell fratricide"
base,T_total,"Total activated CD8+ T cell count in tumor compartment, calculated variable used in cytotoxicity and recruitment dynamics"
base,T_total_LN,"Total activated T cell count in tumor-draining lymph nodes, calculated variable for tracking immune activation"
base,Tregs_,"Total regulatory T cell count, calculated variable used in T effector suppression (K_T_Treg parameter)"
base,Ve_T,"Cellular volume fraction of tumor tissue, used as denominator in tumor volume calculation V_T = (cells*vol_cell)/Ve_T"
base,c_vas_50,"Half-maximal angiogenic factor concentration for tumor vasculature growth, determines sensitivity of vascular expansion to angiogenic stimuli"
base,cell,"SimBiology unit parameter representing individual cells, mapped to 'molecule' unit internally"
base,chemo_sens_CD80_total,"Total number of CD80 costimulatory ligands per chemotherapy-sensitive cancer cell surface, enables direct T cell costimulation or CTLA-4 inhibition"
base,chemo_sens_CD86_total,"Total number of CD86 costimulatory ligands per chemotherapy-sensitive cancer cell surface, primary costimulatory ligand with higher expression than CD80"
base,day,"SimBiology unit parameter for time scale, mapped to 'second' with conversion factor internally"
base,div_CD8,"CD8+ T cell receptor diversity representing total repertoire size for tumor antigen recognition, used to normalize clone numbers and activation probabilities"
base,div_Tregs,"T cell receptor diversity for regulatory T cells, representing repertoire size for self-antigen recognition"
base,gamma_C_aCTLA4,"Volume fraction of central compartment interstitial space accessible to anti-CTLA-4 antibody, determines drug distribution volume and concentration"
base,gamma_C_aPD1,"Volume fraction of central compartment interstitial space accessible to anti-PD-1 antibody, determines drug distribution volume and concentration"
base,gamma_C_aPDL1,"Volume fraction of central compartment interstitial space accessible to anti-PD-L1 antibody, determines drug distribution volume and concentration"
base,gamma_C_cabozantinib,Volume fraction of cabozantinib available for distribution in central compartment
base,gamma_LN_aCTLA4,"Volume fraction of lymph node interstitial space accessible to anti-CTLA-4 antibody, affects drug availability for T cell priming modulation"
base,gamma_LN_aPD1,"Volume fraction of lymph node interstitial space accessible to anti-PD-1 antibody, affects drug availability for T cell priming enhancement"
base,gamma_LN_aPDL1,"Volume fraction of lymph node interstitial space accessible to anti-PD-L1 antibody, affects drug availability for APC checkpoint inhibition"
base,gamma_LN_cabozantinib,Volume fraction of cabozantinib available for distribution in lymph node compartment
base,gamma_P_aCTLA4,"Volume fraction of peripheral compartment interstitial space accessible to anti-CTLA-4 antibody, affects tissue drug penetration and efficacy"
base,gamma_P_aPD1,"Volume fraction of peripheral compartment interstitial space accessible to anti-PD-1 antibody, affects tissue drug penetration and efficacy"
base,gamma_P_aPDL1,"Volume fraction of peripheral compartment interstitial space accessible to anti-PD-L1 antibody, affects tissue drug penetration and efficacy"
base,gamma_P_cabozantinib,Volume fraction of cabozantinib available for distribution in peripheral compartment
base,gamma_T_cabozantinib,Volume fraction of cabozantinib available for distribution in tumor compartment
base,k_APC_death,"Rate of immature APC death in tumor compartment, represents natural turnover of tissue-resident dendritic cells"
base,k_APC_mat,"Maximum rate of APC maturation from immature to mature antigen-presenting state, triggered by danger signals, cytokines, or pathogen-associated molecular patterns"
base,k_APC_mig,"Rate of mature APC migration from tumor to tumor-draining lymph nodes, enables tumor antigen presentation to naive T cells for priming"
base,k_ArgI_deg,"Rate of arginase I (ArgI) degradation in tumor microenvironment, determines clearance of amino acid-depleting enzyme"
base,k_CAF_death,"Rate of cancer-associated fibroblast death in tumor compartment, determines steady-state CAF population"
base,k_CCL2_deg,"Rate of CCL2 degradation in tumor microenvironment, determines chemoattractant clearance"
base,k_CCL2_sec,"Rate of CCL2 (MCP-1) secretion by cancer cells and MDSCs, promotes MDSC recruitment to tumor microenvironment"
base,k_CD8_act,"Rate of naive CD8+ T cell activation by mature APCs presenting tumor antigens (P1), depends on TCR-MHC class I binding strength and costimulatory signal availability"
base,k_CD8_death,"CD8+ T cell apoptotic death rate in all compartments, represents natural turnover independent of activation or exhaustion mechanisms"
base,k_CD8_exh,"Rate of CD8+ T cell exhaustion in tumor microenvironment, represents transition to functionally impaired state due to chronic antigen exposure and inhibitory signals"
base,k_CD8_pro,"Activated CD8+ T cell proliferation rate in lymph nodes, enhanced by IL-2 availability and costimulatory signals, generates effector T cell progeny"
base,k_C_CD8,"Baseline rate of cancer cell cytotoxicity by CD8+ T cells through perforin/granzyme and FasL pathways, modified by checkpoint inhibition (H_PD1) and ECM barriers (H_ECM_T_mot)"
base,k_C_resist,"Rate of cancer cell transition to cabozantinib-resistant phenotype, resembles cancer stem cell characteristics"
base,k_ECM_CAF_sec,"Rate of extracellular matrix secretion by cancer-associated fibroblasts, higher than normal fibroblasts"
base,k_ECM_deg,Rate of extracellular matrix degradation in tumor microenvironment
base,k_ECM_fib_sec,Rate of extracellular matrix secretion by normal fibroblasts
base,k_IFNg_Thsec,IFNg secretion rate by T helper cell estimated assuming IFNg secretion is 3 times lower in CD4 than CD8 T cells
base,k_IFNg_Tsec,"Rate of IFN-γ secretion by activated CD8+ T cells in tumor, enhances PD-L1 expression (r_PDL1_IFNg) and macrophage M1 polarization"
base,k_IFNg_deg,IFNg degradation rate
base,k_IL10_deg,"Rate of IL-10 degradation in tumor microenvironment, determines clearance of anti-inflammatory cytokine"
base,k_IL10_sec,"Rate of IL-10 secretion by M2 macrophages in tumor compartment, promotes immunosuppression and M1-to-M2 polarization"
base,k_IL12_Msec,"Rate of IL-12 secretion by M1 macrophages in tumor compartment, promotes anti-tumor immune responses"
base,k_IL12_deg,"Rate of IL-12 degradation in tumor microenvironment, determines clearance of pro-inflammatory cytokine"
base,k_IL12_sec,"Rate of IL-12 secretion by mature antigen-presenting cells in tumor, promotes Th1 response and M1 macrophage polarization"
base,k_IL2_cons,"Rate of IL-2 consumption by activated T cells, represents uptake through high-affinity IL-2 receptors (CD25/CD122/CD132) for proliferation signaling"
base,k_IL2_deg,"Rate of IL-2 cytokine degradation in lymph node compartment, regulates IL-2 availability for T cell proliferation enhancement and Treg activation"
base,k_IL2_sec,"Rate of IL-2 secretion by activated CD8+ and CD4+ T cells in lymph nodes, provides autocrine and paracrine proliferation signals"
base,k_K_cabo,Cabozantinib-mediated inhibition factor for maximal tumor carrying capacity through anti-angiogenic effects
base,k_K_d,"Rate of tumor vasculature degradation/collapse proportional to tumor burden, used in vascular capacity reduction model"
base,k_K_g,"Rate of tumor vasculature growth driven by angiogenic factors, used in vascular capacity expansion model K dynamics"
base,k_M1_phago,"Rate of M1 macrophage-mediated phagocytosis and killing of cancer cells, represents anti-tumor effector function"
base,k_M1_pol,"Rate of M2 to M1 macrophage polarization driven by IL-12 and IFN-γ, promotes anti-tumor phenotype"
base,k_M1p0_TCR_off,"Rate of TCR dissociation from P0-MHC class II complex, determines duration of Treg signaling and activation strength"
base,k_M1p0_TCR_on,"Rate of TCR binding to self-antigen P0-MHC class II complex on APC surface, initiates regulatory T cell signaling cascade"
base,k_M1p0_TCR_p,"Rate of conformational changes in P0-MHC-TCR complex during signaling, modulates signal strength and Treg activation efficiency"
base,k_M1p1_TCR_off,"Rate of CD8+ TCR dissociation from P1-MHC class I complex, determines duration of activation signaling and T effector priming strength"
base,k_M1p1_TCR_on,"Rate of CD8+ TCR binding to tumor antigen P1-MHC class I complex on APC surface, initiates CD8+ T cell activation cascade"
base,k_M1p1_TCR_p,"Rate of conformational changes in P1-MHC-TCR complex during CD8+ T cell signaling, modulates activation signal strength and effector differentiation"
base,k_M2_pol,"Rate of M1 to M2 macrophage polarization driven by IL-10 and TGF-β, promotes tumor-supportive phenotype"
base,k_MDSC_death,"Rate of MDSC death in tumor microenvironment, determines steady-state immunosuppressive cell population"
base,k_MDSC_rec,"Rate of MDSC recruitment into tumor compartment, driven by CCL2 chemokine gradients and tumor-derived factors"
base,k_Mac_death,"Rate of macrophage death in tumor microenvironment, determines steady-state macrophage population"
base,k_Mac_rec,"Rate of macrophage recruitment into tumor compartment, driven by chemokine gradients and tumor-derived factors"
base,k_NO_deg,"Rate of nitric oxide (NO) degradation in tumor microenvironment, determines clearance of immunosuppressive mediator"
base,k_NO_sec,"Rate of nitric oxide (NO) secretion by MDSCs, creates immunosuppressive microenvironment and inhibits T cell function"
base,k_P0_d1,"Dissociation constant for self-antigen P0-MHC class II binding, determines stability and presentation strength of P0 epitopes to Tregs"
base,k_P0_deg,"Rate of processed self-antigen P0 epitope degradation in endosomes, determines half-life of peptides available for MHC class II loading"
base,k_P0_on,"Rate of self-antigen P0 epitope binding to MHC class II molecules in APC endosomes, determines presentation efficiency to regulatory T cells"
base,k_P0_up,"Rate of self-antigen P0 uptake by APCs from dying cells, initiates processing and presentation pathway for regulatory T cell activation"
base,k_P1_d1,"Dissociation constant for tumor antigen P1-MHC class I binding, determines stability and presentation strength of P1 epitopes to CD8+ T cells"
base,k_P1_deg,"Rate of processed tumor antigen P1 epitope degradation in endosomes, determines half-life of peptides available for MHC class I loading"
base,k_P1_on,"Rate of tumor antigen P1 epitope binding to MHC class I molecules in APC endosomes, determines cross-presentation efficiency to CD8+ T cells"
base,k_P1_up,"Rate of tumor-specific antigen P1 uptake by APCs from dying cancer cells, initiates cross-presentation pathway for CD8+ T cell activation"
base,k_TGFb_Msec,"Rate of TGF-β secretion by M2 macrophages in tumor compartment, promotes immunosuppression and tissue remodeling"
base,k_TGFb_Tsec,TGF secretion rate by Treg
base,k_TGFb_deg,"TGF-β degradation rate in tumor microenvironment, determines clearance of immunosuppressive cytokine"
base,k_Tcell_ECM,"Rate of T cell exhaustion induced by extracellular matrix components (collagen, fibronectin), represents mechanical and biochemical barriers to T cell function in fibrotic tumors"
base,k_Th_Treg,"Rate of T helper cell differentiation to regulatory T cells, enhanced by TGF-β signaling and promotes immune suppression"
base,k_Th_act,"Rate of T helper cell activation upon antigen presentation by APCs in lymph nodes, determines speed of adaptive immune response initiation"
base,k_Treg,"Rate of CD8+ T effector cell suppression/death mediated by regulatory T cells, represents Treg-mediated immunosuppression through contact-dependent and cytokine mechanisms"
base,k_Treg_act,"Rate of naive Treg activation by APCs presenting self-antigens (P0), depends on TCR-MHC class II binding strength and costimulatory signals"
base,k_Treg_death,"Regulatory T cell apoptotic death rate in all compartments, represents natural turnover independent of activation state"
base,k_Treg_pro,"Activated regulatory T cell proliferation rate in lymph nodes, enhanced by IL-2 secreted by activated T effector cells (IL2_50_Treg parameter)"
base,k_a1_cabozantinib,First-order absorption rate constant for cabozantinib from fast absorption site to central compartment
base,k_a2_cabozantinib,First-order absorption rate constant for cabozantinib from slow absorption site to central compartment
base,k_caf_tran,Rate of normal fibroblast transformation to cancer-associated fibroblasts (CAFs)
base,k_cell_clear,"Clearance rate of dead/apoptotic cells from tumor compartment, used in multiple cell death pathways (cancer, T cells, macrophages, fibroblasts, MDSCs)"
base,k_chemo_res_death,Baseline apoptotic death rate of chemotherapy-resistant cancer clone
base,k_chemo_res_growth,Intrinsic growth rate of chemotherapy-resistant cancer clone
base,k_chemo_res_therapy,"Therapy-induced death rate for chemotherapy-resistant cancer cells, typically much lower than sensitive clone due to resistance mechanisms"
base,k_chemo_sens_death,"Baseline apoptotic death rate of chemotherapy-sensitive cancer clone, independent of immune or therapy effects"
base,k_chemo_sens_growth,"Intrinsic growth rate of chemotherapy-sensitive cancer clone, used in Gompertzian/logistic growth models"
base,k_chemo_sens_therapy,"Therapy-induced death rate for chemotherapy-sensitive cancer cells, represents additional mortality from cytotoxic drugs beyond baseline apoptosis"
base,k_cl_aCTLA4,"Systemic clearance rate of anti-CTLA-4 antibody from central compartment, determines drug half-life and dosing requirements for sustained costimulatory blockade"
base,k_cl_aPD1,"Systemic clearance rate of anti-PD-1 antibody from central compartment, determines drug half-life and dosing requirements for sustained checkpoint blockade"
base,k_cl_aPDL1,"Systemic clearance rate of anti-PD-L1 antibody from central compartment, determines drug half-life and dosing requirements for sustained checkpoint blockade"
base,k_cln_aPDL1,"Maximum non-linear clearance rate of anti-PD-L1 antibody from central compartment, represents target-mediated drug disposition at high PD-L1 expression"
base,k_cln_cabozantinib,Maximum rate of nonlinear clearance for cabozantinib from central compartment via saturable metabolism
base,k_fib_const,Steady-state fibroblast concentration in tumor microenvironment
base,k_fib_rec,Rate of fibroblast recruitment into tumor microenvironment
base,k_in_PDL1,"Rate of PD-L1 internalization and degradation from cancer cell surface, determines steady-state PD-L1 density for checkpoint inhibition"
base,k_mAPC_death,"Rate of mature APC death in lymph nodes after antigen presentation, higher than immature APCs due to activation-induced cell death"
base,k_nCD8_death,"Naive CD8+ T cell natural death rate, represents baseline apoptosis in absence of activation signals or pathological conditions"
base,k_nCD8_pro,"Half-maximal naive CD8+ T cell number for homeostatic proliferation saturation, determines density-dependent regulation of naive T cell expansion"
base,k_nTreg_death,"Naive regulatory T cell natural death rate, represents baseline apoptosis in absence of activation signals"
base,k_nTreg_pro,"Half-maximal naive Treg number for homeostatic proliferation saturation, determines density-dependent regulation of naive Treg expansion"
base,k_out_PDL1,"Rate of PD-L1 protein expression and translocation to cancer cell surface, enhanced by IFN-γ signaling (r_PDL1_IFNg fold increase)"
base,k_vas_Csec,"Rate of angiogenic factor secretion by cancer cells (VEGF-like factors), drives tumor vasculature growth through k_K_g pathway"
base,k_vas_Msec,"Rate of angiogenic factor secretion by M2 macrophages, promotes tumor vascularization and growth"
base,k_vas_deg,"Degradation rate of angiogenic factors in tumor microenvironment, regulates vascular growth signaling duration"
base,k_xP0_deg,"Rate of extracellular self-antigen P0 degradation in tissue, competes with APC uptake and determines antigen availability for presentation"
base,k_xP1_deg,"Rate of extracellular tumor antigen P1 degradation in tissue, competes with APC uptake and determines antigen availability for cross-presentation"
base,kin,"Rate of MHC class I/II internalization from APC surface for peptide loading, part of antigen processing and presentation pathway"
base,koff_CD28_CD80,"Dissociation rate constant for CD28-CD80 costimulatory complex, determines duration of T cell activation enhancement signals"
base,koff_CD28_CD86,"Dissociation rate constant for CD28-CD86 costimulatory complex, faster off-rate than CD80 provides transient activation signals"
base,koff_CD47_SIRPa,Dissociation rate constant for CD47-SIRPα binding complex
base,koff_CD80_CD80,"Dissociation rate constant for CD80 homodimer, determines stability of active CD80 conformation for receptor binding"
base,koff_CD80_PDL1,"Dissociation rate constant for CD80-PD-L1 cis-interaction, rapid off-rate allows dynamic regulation of costimulatory/checkpoint balance"
base,koff_CTLA4_CD80,"Dissociation rate constant for CTLA-4-CD80 inhibitory complex, slower than CD28-CD80 enables competitive inhibition of costimulation"
base,koff_CTLA4_CD86,"Dissociation rate constant for CTLA-4-CD86 inhibitory complex, faster than CD80 but still enables competitive inhibition of CD28 costimulation"
base,koff_CTLA4_aCTLA4,"Dissociation rate constant for CTLA-4/anti-CTLA-4 complex, slow off-rate enables sustained costimulatory blockade with intermittent dosing"
base,koff_PD1_PDL1,"Dissociation rate constant for PD-1/PD-L1 complex, determines duration of checkpoint inhibition signal and T cell suppression strength"
base,koff_PD1_PDL2,"Dissociation rate constant for PD-1/PD-L2 complex, alternative checkpoint pathway with longer binding duration than PD-L1"
base,koff_PD1_aPD1,"Dissociation rate constant for PD-1/anti-PD-1 complex, very slow off-rate enables sustained checkpoint blockade with intermittent dosing"
base,koff_PDL1_aPDL1,"Dissociation rate constant for PD-L1/anti-PD-L1 complex, extremely slow off-rate enables sustained checkpoint blockade with intermittent dosing"
base,kon_CD28_CD80,"Association rate constant for CD28-CD80 costimulatory binding in immunological synapse, determines T cell activation enhancement strength"
base,kon_CD28_CD86,"Association rate constant for CD28-CD86 costimulatory binding in immunological synapse, alternative costimulatory pathway for T cell activation"
base,kon_CD47_SIRPa,"Association rate constant for CD47-SIRPα binding, initiates 'don't eat me' signal to inhibit phagocytosis"
base,kon_CD80_CD80,"Association rate constant for CD80 homodimerization, required for high-affinity binding to CD28 and CTLA-4 receptors"
base,kon_CD80_PDL1,"Association rate constant for CD80-PD-L1 cis-interaction on same cell surface, modulates costimulatory and checkpoint signaling balance"
base,kon_CTLA4_CD80,"Association rate constant for CTLA-4-CD80 inhibitory binding, competes with CD28 for CD80 and suppresses T cell activation"
base,kon_CTLA4_CD86,"Association rate constant for CTLA-4-CD86 inhibitory binding, competes with CD28 for CD86 and suppresses T cell activation"
base,kon_CTLA4_aCTLA4,"Association rate constant for CTLA-4 binding to anti-CTLA-4 antibody, determines drug binding kinetics and costimulatory blockade efficacy"
base,kon_PD1_PDL1,"Association rate constant for PD-1/PD-L1 binding in immunological synapse, determines checkpoint inhibition strength and T cell suppression kinetics"
base,kon_PD1_PDL2,"Association rate constant for PD-1/PD-L2 binding in immunological synapse, alternative checkpoint pathway with similar inhibitory effects"
base,kon_PD1_aPD1,"Association rate constant for PD-1 binding to anti-PD-1 antibody, determines drug binding kinetics and checkpoint blockade efficacy"
base,kon_PDL1_aPDL1,"Association rate constant for PD-L1 binding to anti-PD-L1 antibody, determines drug binding kinetics and checkpoint blockade efficacy"
base,kout,"Rate of peptide-loaded MHC class I/II externalization to APC surface for T cell recognition, completes antigen presentation cycle"
base,lagP1_cabozantinib,"Lag time for fast absorption phase of cabozantinib into central compartment, represents dissolution and transit delays"
base,lagP2_cabozantinib,"Lag time for slow absorption phase of cabozantinib into central compartment, represents extended-release formulation kinetics"
base,n_CD28_CD8X,"Hill coefficient for CD28-CD80/CD86 costimulation dose-response curve, determines steepness of T cell activation enhancement with receptor density"
base,n_CD8_clones,"Number of CD8+ T cell clones recognizing tumor-specific antigens (P1), determines the fraction of CD8+ repertoire available for anti-tumor responses"
base,n_PD1,"Hill coefficient for PD-1/PD-L1 checkpoint inhibition dose-response curve, determines steepness of T cell suppression with receptor density"
base,n_SIRPa,"Hill coefficient for CD47/SIRPα-mediated inhibition of cancer cell phagocytosis, determines cooperativity of inhibitory signaling"
base,n_Treg_clones,"Number of regulatory T cell clones recognizing self-antigens (P0), determines the fraction of Treg repertoire that can be activated by tissue-specific antigens in lymph nodes"
base,n_sites_APC,"Maximum number of T cells that can simultaneously form immunological synapses with a single APC, determines APC antigen presentation capacity"
base,p0_50,"Half-maximal self-antigen P0-MHC class II density for regulatory T cell activation in immunological synapse, determines Treg activation threshold"
base,p1_50,"Half-maximal tumor antigen P1-MHC class I density for CD8+ T cell activation in immunological synapse, determines T effector activation threshold"
base,pTCR_p0_MHC_tot,"Total density of P0-MHC-TCR complexes at all modification states in immunological synapse, calculated variable representing Treg signaling strength"
base,pTCR_p1_MHC_tot,"Total density of P1-MHC-TCR complexes at all modification states in immunological synapse, calculated variable representing CD8+ T cell signaling strength"
base,phi_M1p0_TCR,"Rate of P0-MHC-TCR complex transition to non-signaling state after maximal modification, terminates Treg activation signal"
base,phi_M1p1_TCR,"Rate of P1-MHC-TCR complex transition to non-signaling state after maximal modification, terminates CD8+ T cell activation signal"
base,q_CD8_LN_out,"Rate of activated CD8+ T cell egress from lymph nodes to systemic circulation, allows activated T cells to reach tumor sites after antigen recognition"
base,q_CD8_P_in,"Rate of activated CD8+ T cell transport from central to peripheral compartments via vascular transmigration, enables systemic T cell distribution"
base,q_CD8_P_out,"Rate of CD8+ T cell egress from peripheral compartment back to central circulation, maintains T cell recirculation between compartments"
base,q_CD8_T_in,"Rate of activated CD8+ T cell infiltration into tumor tissue, depends on tumor vasculature, chemokine gradients, and cancer cell density for recruitment"
base,q_LD_aCTLA4,"Rate of anti-CTLA-4 antibody lymphatic drainage from tumor-draining lymph nodes back to central circulation, completes drug distribution cycle"
base,q_LD_aPD1,"Rate of anti-PD-1 antibody lymphatic drainage from tumor-draining lymph nodes back to central circulation, completes drug distribution cycle"
base,q_LD_aPDL1,"Rate of anti-PD-L1 antibody lymphatic drainage from tumor-draining lymph nodes back to central circulation, completes drug distribution cycle"
base,q_LD_cabozantinib,Lymphatic drainage clearance rate for cabozantinib from lymph node to central compartment
base,q_LN_aCTLA4,"Capillary filtration rate of anti-CTLA-4 antibody from central to tumor-draining lymph node compartment, enables T cell priming modulation"
base,q_LN_aPD1,"Capillary filtration rate of anti-PD-1 antibody from central to tumor-draining lymph node compartment, enables T cell priming enhancement"
base,q_LN_aPDL1,"Capillary filtration rate of anti-PD-L1 antibody from central to tumor-draining lymph node compartment, enables APC checkpoint inhibition"
base,q_LN_cabozantinib,Inter-compartmental clearance rate for cabozantinib between central and lymph node compartments
base,q_P_aCTLA4,"Capillary filtration rate of anti-CTLA-4 antibody from central to peripheral compartment, determines systemic drug distribution for checkpoint blockade"
base,q_P_aPD1,"Capillary filtration rate of anti-PD-1 antibody from central to peripheral compartment, determines systemic drug distribution for checkpoint blockade"
base,q_P_aPDL1,"Capillary filtration rate of anti-PD-L1 antibody from central to peripheral compartment, determines systemic drug distribution for checkpoint blockade"
base,q_P_cabozantinib,Inter-compartmental clearance rate for cabozantinib between central and peripheral compartments
base,q_T_aCTLA4,"Capillary filtration rate of anti-CTLA-4 antibody from central to tumor compartment, determines tumor penetration for T cell costimulatory blockade"
base,q_T_aPD1,"Capillary filtration rate of anti-PD-1 antibody from central to tumor compartment, determines tumor penetration for T cell checkpoint inhibition"
base,q_T_aPDL1,"Capillary filtration rate of anti-PD-L1 antibody from central to tumor compartment, determines tumor penetration for cancer cell checkpoint inhibition"
base,q_T_cabozantinib,Inter-compartmental clearance rate for cabozantinib between central and tumor compartments
base,q_Treg_LN_out,"Rate of activated regulatory T cell egress from lymph nodes to peripheral circulation, allows Tregs to migrate to tumor sites after activation by self-antigens"
base,q_Treg_P_in,"Rate of activated Treg transport from central to peripheral compartments via vascular transmigration, allows systemic Treg distribution"
base,q_Treg_P_out,"Rate of Treg egress from peripheral compartment back to central circulation, maintains Treg recirculation between compartments"
base,q_Treg_T_in,"Rate of activated regulatory T cell infiltration into tumor tissue, depends on tumor vasculature density and adhesion molecule expression"
base,q_nCD8_LN_in,"Rate of naive CD8+ T cell entry into tumor-draining lymph nodes, determines the naive precursor influx available for tumor antigen presentation and activation"
base,q_nCD8_LN_out,"Rate of naive CD8+ T cell egress from lymph nodes without activation, represents baseline T cell recirculation through lymphoid organs"
base,q_nCD8_P_in,"Rate of naive CD8+ T cell transport from central to peripheral compartments, maintains naive T cell distribution throughout body tissues"
base,q_nCD8_P_out,"Rate of naive CD8+ T cell egress from peripheral compartment back to central circulation, maintains steady-state naive T cell distribution across body tissues"
